frame,status,missed,candidate_count,gate_radius,err_to_gt,est_x,est_y,gt_occluded,gt_x,gt_y,meas_err_to_gt,meas_x,meas_y,pred_x,pred_y,raw_meas_x,raw_meas_y,reacquire_pending,reacquire_pending_count,reacquire_pending_x,reacquire_pending_y
14,TRACKED,0,1,15.0,1.7335687881919835,217.2477569580078,493.795654296875,False,216.4286332130432,492.26781365275383,2.036736687394848,217.5,494.0,216.92115783691406,493.53106689453125,217.5,494.0,False,0,,
15,TRACKED,0,1,15.0,1.8494093397383806,219.1767120361328,493.9914855957031,False,218.2831107378006,492.37229084968567,2.0323032634115425,219.5,494.0,218.76779174804688,493.980712890625,219.5,494.0,False,0,,
16,TRACKED,0,1,15.0,2.392571892763765,220.93463134765625,493.80047607421875,False,219.35973501205444,491.9993370473385,2.2231640803527775,221.0,493.5,220.85194396972656,494.1806335449219,221.0,493.5,False,0,,
17,TRACKED,0,1,15.0,2.253784806693955,222.84161376953125,493.6522521972656,False,221.28448337316513,492.02286860719323,2.2638273893038208,223.0,493.5,222.64137268066406,493.8447570800781,223.0,493.5,False,0,,
18,TRACKED,0,1,15.0,1.7968307646363664,225.1127471923828,493.5545654296875,False,223.79993826150894,492.3277266025543,2.065050806406485,225.5,493.5,224.62445068359375,493.6233825683594,225.5,493.5,False,0,,
19,TRACKED,0,1,15.0,1.826794766805272,227.31423950195312,493.49981689453125,False,225.8963788598776,492.3479270040989,1.9745563929480625,227.5,493.5,227.08062744140625,493.4996032714844,227.5,493.5,False,0,,
20,TRACKED,0,1,15.0,2.352584763495382,228.60763549804688,493.4755859375,False,226.60358691215515,492.2433342039585,1.8786107725776975,228.0,493.5,229.37054443359375,493.4449462890625,228.0,493.5,False,0,,
21,TRACKED,0,1,15.0,1.912786197996241,230.1664276123047,493.469970703125,False,228.79069873690605,492.14101581275463,1.8191337405764247,230.0,493.5,230.37522888183594,493.43231201171875,230.0,493.5,False,0,,
22,TRACKED,0,1,15.0,1.5743163236170101,232.21388244628906,493.47381591796875,False,231.19858247041702,492.27063769102097,1.79025676176467,232.5,493.5,231.85499572753906,493.4409484863281,232.5,493.5,False,0,,
23,TRACKED,0,1,15.0,1.605397144493246,233.73878479003906,494.5938415527344,False,232.64104640483856,493.42240208387375,2.248157997057347,233.5,495.5,234.03829956054688,493.4572448730469,233.5,495.5,False,0,,
24,TRACKED,0,1,15.0,2.161626251866632,235.4777374267578,495.0033264160156,False,234.67975002527237,492.99438536167145,2.166864116302277,235.5,495.0,235.4498291015625,495.00750732421875,235.5,495.0,False,0,,
25,TRACKED,0,1,15.0,2.1317406722848697,237.3666229248047,495.18426513671875,False,236.47426462173462,493.2482860684395,2.0299346699459138,237.5,495.0,237.1993408203125,495.4154052734375,237.5,495.0,False,0,,
26,TRACKED,0,1,15.0,2.1500462197084356,239.34542846679688,495.5039367675781,False,238.62166440486908,493.479371547699,2.2032731923033118,239.5,495.5,239.15155029296875,495.50885009765625,239.5,495.5,False,0,,
27,PREDICTED,1,0,15.0,3.0679510485916173,241.20375061035156,495.82666015625,False,239.4436318874359,493.31383192539215,,,,241.20375061035156,495.82666015625,,,False,0,,
28,PREDICTED,2,0,16.0,2.1657150767966487,243.06207275390625,496.1493835449219,False,241.59635734558105,494.5550184249878,,,,243.06207275390625,496.1493835449219,,,False,0,,
29,PREDICTED,3,0,17.0,2.1045699446955135,244.92039489746094,496.47210693359375,False,243.32650592923164,495.0977952480316,,,,244.92039489746094,496.47210693359375,,,False,0,,
30,TRACKED,0,1,18.0,2.318259034476946,245.6433868408203,496.97698974609375,False,244.11675550043583,495.23236322402954,2.244527816120302,245.5,497.0,246.77871704101562,496.7948303222656,245.5,497.0,False,0,,
31,TRACKED,0,1,15.0,2.5984329549576004,247.39736938476562,497.4393005371094,False,245.82216207683086,495.37276339530945,2.7092943119491295,247.5,497.5,247.2339630126953,497.3426818847656,247.5,497.5,False,0,,
32,TRACKED,0,1,15.0,2.7341176452410654,248.17361450195312,497.6464538574219,False,246.4788389801979,495.5009620189667,2.2447544805561797,247.5,497.5,249.0374755859375,497.8342590332031,247.5,497.5,False,0,,
33,PREDICTED,1,0,15.0,2.620893938580182,249.4974365234375,497.97265625,False,248.8886905014515,495.4234380722046,,,,249.4974365234375,497.97265625,,,False,0,,
34,TRACKED,0,1,16.0,2.1362232875899236,251.31439208984375,497.71844482421875,False,249.78774031996727,496.2241944074631,2.135301646562912,251.5,497.5,250.82125854492188,498.2988586425781,251.5,497.5,False,0,,
35,TRACKED,0,1,15.0,1.717509252456788,253.2200469970703,497.64129638671875,False,251.9114670008421,496.5288861989975,1.861853674140677,253.5,497.5,252.80142211914062,497.8525695800781,253.5,497.5,False,0,,
36,PREDICTED,1,0,15.0,2.4207255221040405,254.8514862060547,497.7025451660156,False,252.58721166849136,496.8464068174362,,,,254.8514862060547,497.7025451660156,,,False,0,,
37,PREDICTED,2,0,16.0,2.2386824473129163,256.48291015625,497.7637939453125,False,254.43158650398254,496.8672615289688,,,,256.48291015625,497.7637939453125,,,False,0,,
38,PREDICTED,3,0,17.0,2.7405719923444223,258.1143493652344,497.8250427246094,False,255.56756156682968,496.81281411647797,,,,258.1143493652344,497.8250427246094,,,False,0,,
39,PREDICTED,4,0,18.0,3.099448531717543,259.74578857421875,497.88629150390625,False,256.9375872015953,496.5745803117752,,,,259.74578857421875,497.88629150390625,,,False,0,,
40,TRACKED,0,1,19.0,1.9644600357971926,260.1024169921875,499.3845520019531,False,258.92857675999403,497.80936872959137,2.001544866274146,260.0,499.5,261.3772277832031,497.9475402832031,260.0,499.5,False,0,,
41,TRACKED,0,1,15.0,2.6339766817392998,261.489501953125,499.5923156738281,False,260.0319726318121,497.3983600139618,2.563590252880398,261.5,499.5,261.47265625,499.740234375,261.5,499.5,False,0,,
42,TRACKED,0,1,15.0,2.4993590410724846,263.2227783203125,499.1127624511719,False,261.4940901398659,497.30764949321747,2.3335325363079606,263.5,498.5,262.8647155761719,499.9041748046875,263.5,498.5,False,0,,
43,TRACKED,0,1,15.0,2.537460883521828,264.0368957519531,498.49273681640625,False,262.08245915174484,496.87443977594376,1.8100574229701922,263.5,498.0,264.7312927246094,499.1299743652344,263.5,498.0,False,0,,
44,PREDICTED,1,0,15.0,2.272803988687748,265.27301025390625,498.25994873046875,False,263.3669720888138,497.02194368839264,,,,265.27301025390625,498.25994873046875,,,False,0,,
45,TRACKED,0,1,16.0,2.1146563820935946,265.7716369628906,498.3727111816406,False,264.26820063591003,496.8856164216995,2.0306560543968772,265.5,498.5,266.5091247558594,498.02716064453125,265.5,498.5,False,0,,
46,TRACKED,0,1,15.0,1.775664989146481,267.20556640625,498.7007141113281,False,265.8698797225952,497.5307024717331,2.194567689860009,267.5,499.0,266.7655029296875,498.25341796875,267.5,499.0,False,0,,
47,TRACKED,0,1,15.0,2.2244262287796217,268.9973449707031,498.8839416503906,False,267.3393397331238,497.40100851655006,2.6879781533716094,269.5,499.0,268.3499450683594,498.73443603515625,269.5,499.0,False,0,,
48,TRACKED,0,1,15.0,2.5550784437426426,269.88934326171875,498.9877624511719,False,268.0793249607086,497.1843602210283,2.305399178938405,269.5,499.0,270.378662109375,498.9723815917969,269.5,499.0,False,0,,
49,TRACKED,0,1,15.0,2.1180620644126016,271.3166198730469,498.4787902832031,False,269.9892177581787,496.82827807962894,1.9119087951261153,271.5,498.0,271.0856018066406,499.0820007324219,271.5,498.0,False,0,,
50,TRACKED,0,1,15.0,1.9207039912563844,272.82354736328125,498.9886169433594,False,271.15241825580597,498.0418163686991,2.3536902523639367,273.0,499.5,272.6008605957031,498.3432922363281,273.0,499.5,False,0,,
51,TRACKED,0,1,15.0,1.262747781555266,274.6427001953125,499.32232666015625,False,273.7518825531006,498.42735409736633,1.6457115159381688,275.0,499.5,274.19244384765625,499.0984191894531,275.0,499.5,False,0,,
52,TRACKED,0,1,15.0,1.8901357770725598,275.8022155761719,499.5075378417969,False,274.27430486679077,498.39483746886253,1.6503674681121656,275.5,499.5,276.1822509765625,499.5169982910156,275.5,499.5,False,0,,
53,TRACKED,0,1,15.0,2.1106439608825593,277.3660583496094,499.5880432128906,False,275.69127225875854,498.3035551905632,2.1686346451084546,277.5,499.5,277.1979064941406,499.6986083984375,277.5,499.5,False,0,,
54,TRACKED,0,1,15.0,2.2065038290102006,278.08782958984375,499.605224609375,False,276.2327426671982,498.4105231165886,1.6711974829528118,277.5,499.5,278.82537841796875,499.7372741699219,277.5,499.5,False,0,,
55,TRACKED,0,1,15.0,1.7200809421366723,279.6753234863281,499.5906982421875,False,278.67070174217224,498.19448421895504,1.863170768561311,280.0,499.5,279.2680358886719,499.7044982910156,280.0,499.5,False,0,,
56,TRACKED,0,1,15.0,2.025343806382928,281.2825012207031,499.8433837890625,False,279.8050992488861,498.4579954147339,2.2913896868730452,281.5,500.0,281.0096740722656,499.64691162109375,281.5,500.0,False,0,,
57,PREDICTED,1,0,15.0,2.0511854326748713,282.7201232910156,499.97393798828125,False,280.7896662950516,499.2806144952774,,,,282.7201232910156,499.97393798828125,,,False,0,,
58,PREDICTED,2,0,16.0,1.744642112793999,284.1577453613281,500.1044921875,False,282.4796121120453,499.6273707151413,,,,284.1577453613281,500.1044921875,,,False,0,,
59,PREDICTED,3,0,17.0,2.5925966436022025,285.5953674316406,500.23504638671875,False,283.24095344543457,499.14955472946167,,,,285.5953674316406,500.23504638671875,,,False,0,,
60,PREDICTED,4,0,18.0,2.350172367934747,287.0329895019531,500.3656005859375,False,284.9526934623718,499.272129714489,,,,287.0329895019531,500.3656005859375,,,False,0,,
61,PREDICTED,5,0,19.0,3.2267808619123692,288.4706115722656,500.49615478515625,False,285.543701171875,499.1377328187227,,,,288.4706115722656,500.49615478515625,,,False,0,,
62,PREDICTED,6,0,20.0,3.3300879026257557,289.9082336425781,500.626708984375,False,287.11555910110474,498.8127480298281,,,,289.9082336425781,500.626708984375,,,False,0,,
63,TRACKED,0,1,21.0,2.1726162138511675,289.5693054199219,500.9908752441406,False,288.04657435417175,499.4411813020706,2.1312817366471077,289.5,501.0,291.3458557128906,500.75726318359375,289.5,501.0,False,0,,
64,TRACKED,0,1,15.0,1.888131081274447,291.19970703125,501.0612487792969,False,290.1914632320404,499.4648517668247,2.0171634963292684,291.5,501.0,290.7186584472656,501.1593322753906,291.5,501.0,False,0,,
65,TRACKED,0,1,15.0,1.7249888095748298,292.2114562988281,501.37103271484375,False,291.0,500.1430424749851,1.6856256181888378,292.0,501.5,292.49041748046875,501.2008972167969,292.0,501.5,False,0,,
66,TRACKED,0,1,15.0,2.4211464077549136,293.4548034667969,501.53271484375,False,292.0,499.59738624095917,2.4227957231453683,293.5,501.5,293.394287109375,501.57647705078125,293.5,501.5,False,0,,
67,TRACKED,0,1,15.0,1.6345152404593695,295.14154052734375,501.8804931640625,False,294.0,500.7106533050537,1.9779825327259386,295.5,502.0,294.6618957519531,501.7206115722656,295.5,502.0,False,0,,
68,TRACKED,0,1,15.0,2.1508744362048597,296.5157165527344,501.7732238769531,False,295.0,500.24716222286224,1.954380335508796,296.5,501.5,296.5362854003906,502.13092041015625,296.5,501.5,False,0,,
69,TRACKED,0,1,15.0,2.1478476359933363,298.23809814453125,501.6696472167969,False,297.0,499.9145510792732,2.182578356035288,298.5,501.5,297.902587890625,501.8869323730469,298.5,501.5,False,0,,
70,TRACKED,0,1,15.0,2.3851787787655656,299.61126708984375,501.58880615234375,False,298.0,499.8301429748535,2.2446430639259924,299.5,501.5,299.751953125,501.70111083984375,299.5,501.5,False,0,,
71,TRACKED,0,1,15.0,1.9959644161303223,301.31036376953125,501.53448486328125,False,300.0,500.0288883894682,2.1009924727712583,301.5,501.5,301.07196044921875,501.5778503417969,301.5,501.5,False,0,,
72,TRACKED,0,1,15.0,2.0985359934857306,302.6601867675781,501.503173828125,False,301.0,500.21957217156887,1.9721803730442249,302.5,501.5,302.8612060546875,501.50714111328125,302.5,501.5,False,0,,
73,TRACKED,0,1,15.0,2.1809645951636405,303.7816467285156,501.4886169433594,False,302.0,500.23070538043976,1.9649704402979142,303.5,501.5,304.13494873046875,501.47430419921875,303.5,501.5,False,0,,
74,TRACKED,0,1,15.0,1.5353031681115055,305.3326416015625,501.48455810546875,False,304.0,500.72217881679535,1.6896762391185725,305.5,501.5,305.1226806640625,501.4651794433594,305.5,501.5,False,0,,
75,PREDICTED,1,0,15.0,1.9136162944651625,306.7531433105469,501.46844482421875,False,305.0,500.7013621330261,,,,306.7531433105469,501.46844482421875,,,False,0,,
76,PREDICTED,2,0,16.0,1.3292630518162096,308.17364501953125,501.45233154296875,False,307.0,500.8282340914011,,,,308.17364501953125,501.45233154296875,,,False,0,,
77,TRACKED,0,1,17.0,1.940076752559266,309.51641845703125,501.9017028808594,False,308.0,500.69159013032913,1.9904613503035264,309.5,502.0,309.5941467285156,501.43621826171875,309.5,502.0,False,0,,
78,TRACKED,0,1,15.0,1.6977396770396382,311.2717590332031,502.0053405761719,False,310.0,500.8806410729885,1.8716207969245036,311.5,502.0,310.91552734375,502.0137023925781,311.5,502.0,False,0,,
79,TRACKED,0,1,15.0,2.0369420420050073,312.6244812011719,501.76947021484375,False,311.0,500.54057082533836,1.7805910089607633,312.5,501.5,312.783935546875,502.11468505859375,312.5,501.5,False,0,,
80,PREDICTED,1,0,15.0,1.3887038959027642,314.0787048339844,501.7533264160156,False,313.0,500.8787440061569,,,,314.0787048339844,501.7533264160156,,,False,0,,
81,TRACKED,0,1,16.0,1.849679580680051,315.5091247558594,501.92724609375,False,314.0,500.85773357748985,1.8854104539845242,315.5,502.0,315.5329284667969,501.7371826171875,315.5,502.0,False,0,,
82,TRACKED,0,1,15.0,1.9952044456616131,317.28082275390625,502.5868225097656,False,316.0,501.0570075362921,2.4546322971120924,317.5,503.0,316.95550537109375,501.97357177734375,317.5,503.0,False,0,,
83,PREDICTED,1,0,15.0,2.6546051229672667,318.83917236328125,502.8442077636719,False,317.0,500.9299524575472,,,,318.83917236328125,502.8442077636719,,,False,0,,
84,PREDICTED,2,0,16.0,2.3615199271933114,320.39752197265625,503.1015930175781,False,319.0,501.19798888266087,,,,320.39752197265625,503.1015930175781,,,False,0,,
85,TRACKED,0,1,17.0,2.172540480671015,321.578857421875,503.0621032714844,False,320.0,501.56974226236343,2.0725919029247577,321.5,503.0,321.95587158203125,503.3589782714844,321.5,503.0,False,0,,
86,TRACKED,0,1,15.0,1.9836788256668911,323.3182067871094,503.0928955078125,False,322.0,501.6105620265007,2.0446363691869114,323.5,503.0,323.0339050292969,503.2381591796875,323.5,503.0,False,0,,
87,TRACKED,0,1,15.0,2.343268632156488,324.6591796875,503.378662109375,False,323.0,501.7239625453949,2.3247169806581125,324.5,503.5,324.86376953125,503.22271728515625,324.5,503.5,False,0,,
88,TRACKED,0,1,15.0,2.1022372442816977,326.33660888671875,502.9706115722656,False,325.0,501.34799697995186,1.8913251857361912,326.5,502.5,326.130126953125,503.5653381347656,326.5,502.5,False,0,,
89,TRACKED,0,1,15.0,2.479427832702472,327.6700439453125,502.9690856933594,False,326.0,501.1364603638649,2.392233261086081,327.5,503.0,327.8865661621094,502.9297180175781,327.5,503.0,False,0,,
90,PREDICTED,1,0,15.0,2.9112695162794058,329.13690185546875,502.94329833984375,False,327.0,500.96614365279675,,,,329.13690185546875,502.94329833984375,,,False,0,,
91,PREDICTED,2,0,16.0,2.6351875984764432,330.603759765625,502.9175109863281,False,329.0,500.8265379369259,,,,330.603759765625,502.9175109863281,,,False,0,,
92,TRACKED,0,1,17.0,2.0059822084933474,332.42620849609375,501.73919677734375,False,331.0,500.32856076955795,1.9032261743205023,332.5,501.5,332.07061767578125,502.8917236328125,332.5,501.5,False,0,,
93,TRACKED,0,1,15.0,2.0305379318867405,333.69140625,501.4595947265625,False,332.0,500.3361049890518,1.8985920036990747,333.5,501.5,333.9908447265625,501.39642333984375,333.5,501.5,False,0,,
94,TRACKED,0,1,15.0,1.8612632493011112,335.3514709472656,501.3408203125,False,334.0,500.0610440969467,2.0786038802359363,335.5,501.5,335.1611022949219,501.1368408203125,335.5,501.5,False,0,,
95,TRACKED,0,1,15.0,2.434205087857149,336.95147705078125,501.31951904296875,False,335.0,499.8644961118698,2.5835775521723674,337.0,501.5,336.8903503417969,501.0921936035156,337.0,501.5,False,0,,
96,TRACKED,0,1,15.0,2.0557195843866714,338.2262268066406,501.3492736816406,False,337.0,499.6993188858032,2.0597214556888384,338.0,501.5,338.5137023925781,501.15777587890625,338.0,501.5,False,0,,
97,TRACKED,0,1,15.0,2.384855599641745,339.57843017578125,501.3948059082031,False,338.0,499.60704350471497,2.41521930537204,339.5,501.5,339.6781311035156,501.2610168457031,339.5,501.5,False,0,,
98,TRACKED,0,1,15.0,2.3691849038493227,341.2759094238281,501.4371337890625,False,340.0,499.4408642053604,2.5475557345750075,341.5,501.5,340.9923095703125,501.3575439453125,341.5,501.5,False,0,,
99,TRACKED,0,1,15.0,2.3471169523375806,343.18902587890625,501.1903076171875,False,342.0,499.1666536331177,2.3687884880167367,343.5,501.0,342.7973327636719,501.4300537109375,343.5,501.0,False,0,,
100,PREDICTED,1,0,15.0,2.5991960162468044,344.8586730957031,501.0924987792969,False,343.0,499.27559089660645,,,,344.8586730957031,501.0924987792969,,,False,0,,
101,TRACKED,0,1,16.0,1.780764529837591,346.1474304199219,501.3589782714844,False,345.0,499.9971685409546,1.8051322373434464,346.0,501.5,346.5283203125,500.99468994140625,346.0,501.5,False,0,,
102,TRACKED,0,1,15.0,2.0607004236655273,347.5782775878906,501.45123291015625,False,346.0,500.1262702345848,2.0339944612480334,347.5,501.5,347.69329833984375,501.37957763671875,347.5,501.5,False,0,,
103,TRACKED,0,1,15.0,2.1599510484575646,349.3179016113281,501.21771240234375,False,348.0,499.50641936063766,2.1167860369621683,349.5,501.0,349.0848693847656,501.4963073730469,349.5,501.0,False,0,,
104,TRACKED,0,1,15.0,1.896277141243406,351.23822021484375,501.0712890625,False,350.0,499.63508653640747,2.02805048336972,351.5,501.0,350.9098815917969,501.16070556640625,351.5,501.0,False,0,,
105,TRACKED,0,1,15.0,2.421963486450463,352.9101867675781,501.47906494140625,False,351.0,499.9900741279125,2.6586783452055163,352.875,501.875,352.9544982910156,500.9804382324219,352.875,501.875,False,0,,
106,TRACKED,0,1,15.0,2.183489452722141,354.5484619140625,501.5345764160156,False,353.0,499.99513109680265,2.1247659673033144,354.5,501.5,354.6095886230469,501.57818603515625,354.5,501.5,False,0,,
107,TRACKED,0,1,15.0,2.3512713218763595,355.82061767578125,501.55181884765625,False,354.0,500.06392499804497,2.0766105583956147,355.5,501.5,356.224609375,501.61712646484375,355.5,501.5,False,0,,
108,TRACKED,0,1,15.0,2.216180449939091,357.43072509765625,501.2700500488281,False,356.0,499.5775721371174,2.0671964166727848,357.5,501.0,357.3436279296875,501.6095886230469,357.5,501.0,False,0,,
109,TRACKED,0,1,15.0,2.2792184539576192,358.4374694824219,501.36669921875,False,357.0,499.5979374349117,2.148916471506088,358.0,501.5,358.9867248535156,501.1993103027344,358.0,501.5,False,0,,
110,TRACKED,0,1,15.0,2.274919587253328,359.9049072265625,501.4375915527344,False,359.0,499.3503919839859,2.3708257258837206,360.0,501.5,359.7856140136719,501.3592834472656,360.0,501.5,False,0,,
111,TRACKED,0,1,15.0,2.192273945426069,361.4104919433594,500.9257507324219,False,360.0,499.24748450517654,1.954173755010758,361.5,500.5,361.2981872558594,501.4598083496094,361.5,500.5,False,0,,
112,TRACKED,0,1,15.0,1.9249993179043368,363.21002197265625,500.8872375488281,False,362.0,499.3900838494301,2.200415872480894,363.5,501.0,362.8462829589844,500.7458190917969,363.5,501.0,False,0,,
113,TRACKED,0,1,15.0,1.8094164559687058,365.1821594238281,500.8939208984375,False,364.0,499.52407163381577,2.104367967373402,365.5,501.0,364.78350830078125,500.7608642578125,365.5,501.0,False,0,,
114,TRACKED,0,1,15.0,2.404949145089556,367.23675537109375,500.0845947265625,False,366.0,498.0220195055008,2.1058077647591955,367.5,499.5,366.90655517578125,500.8179016113281,367.5,499.5,False,0,,
115,PREDICTED,1,0,15.0,2.413909748310994,369.08612060546875,499.73101806640625,False,367.0,498.51649713516235,,,,369.08612060546875,499.73101806640625,,,False,0,,
116,TRACKED,0,1,16.0,1.8406237914225811,370.2612609863281,499.46575927734375,False,369.0,498.12519347667694,1.700027345830542,370.0,499.5,370.93548583984375,499.37744140625,370.0,499.5,False,0,,
117,TRACKED,0,1,15.0,1.8735371046016023,371.65850830078125,499.652099609375,False,370.0,498.78061151504517,1.9331084494255477,371.5,500.0,371.8914489746094,499.1408996582031,371.5,500.0,False,0,,
118,TRACKED,0,1,15.0,1.691878430115011,373.3724060058594,499.7814636230469,False,372.0,498.79204238951206,1.9259183754083995,373.5,500.0,373.2091369628906,499.5018310546875,373.5,500.0,False,0,,
119,TRACKED,0,1,15.0,1.8306110405690705,375.2705993652344,500.4382629394531,False,374.0,499.1204184740782,2.404750862893411,375.5,501.0,374.98284912109375,499.733642578125,375.5,501.0,False,0,,
120,TRACKED,0,1,15.0,2.242313193930319,376.71685791015625,500.569580078125,False,375.0,499.127232208848,2.033344881820185,376.5,500.5,376.9899597167969,500.6571960449219,376.5,500.5,False,0,,
121,PREDICTED,1,0,15.0,2.0823499218488926,378.3321838378906,500.755126953125,False,377.0,499.15466845035553,,,,378.3321838378906,500.755126953125,,,False,0,,
122,TRACKED,0,1,16.0,2.279092161853053,380.3465576171875,501.34466552734375,False,379.0,499.5059040784836,2.495279251748873,380.5,501.5,379.947509765625,500.940673828125,380.5,501.5,False,0,,
123,TRACKED,0,1,15.0,2.171546813129799,382.6328125,501.5653991699219,False,381.0,500.13377809524536,2.4220987372589486,383.0,501.5,382.0918273925781,501.6617431640625,383.0,501.5,False,0,,
124,TRACKED,0,1,15.0,2.987289297536687,383.96600341796875,500.8109130859375,False,382.0,498.5617514848709,2.07811423922532,383.5,500.0,384.5628662109375,501.8495788574219,383.5,500.0,False,0,,
125,TRACKED,0,1,15.0,2.184693439567252,385.5787048339844,500.31695556640625,False,384.0,498.8067978024483,1.9166980680958259,385.5,500.0,385.67742919921875,500.7146301269531,385.5,500.0,False,0,,
126,TRACKED,0,1,15.0,1.8580308642067684,387.39056396484375,500.03106689453125,False,386.0,498.7987477183342,1.9217198141787724,387.5,500.0,387.25274658203125,500.0701599121094,387.5,500.0,False,0,,
127,TRACKED,0,1,15.0,2.109038054507611,388.7728271484375,499.6191101074219,False,387.0,498.4766892492771,1.8158097071403256,388.5,499.5,389.11712646484375,499.7693786621094,388.5,499.5,False,0,,
128,TRACKED,0,1,15.0,1.5644900523478784,390.44183349609375,499.41162109375,False,389.0,498.80437707901,1.6534482901520222,390.5,499.5,390.3685302734375,499.30029296875,390.5,499.5,False,0,,
129,PREDICTED,1,0,15.0,1.1749287894678762,392.0653076171875,499.135009765625,False,391.0,498.63945215940475,,,,392.0653076171875,499.135009765625,,,False,0,,
130,TRACKED,0,1,16.0,1.4317437263029167,393.9132080078125,499.32110595703125,False,393.0,498.218408703804,1.6255695157345016,394.0,499.5,393.68878173828125,498.8583984375,394.0,499.5,False,0,,
